Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.25 00:00;01.01.25 00:15;987,75;358,75;603,75;8.241,75;2,5;32,75;-;813,25;757,25;1.177,75;113,25;492
01.01.25 00:15;01.01.25 00:30;955,75;374,5;650,25;8.206,25;2,25;32,75;-;816,75;688,75;1.173,75;209,5;466,75
01.01.25 00:30;01.01.25 00:45;941;353;635,5;8.206,00;2,25;32,75;-;815,75;682;1.162,75;108,75;466,5
01.01.25 00:45;01.01.25 01:00;934;354,75;612,5;8.221,75;2,5;33;-;823,75;678,5;1.178,25;26,5;469,75
01.01.25 01:00;01.01.25 01:15;950;349,25;563,25;8.312,25;2,5;32,75;-;957,75;676,75;1.126,75;91,75;468,5
01.01.25 01:15;01.01.25 01:30;938;335,25;627,5;8.371,50;2,5;32,75;-;964,25;681,5;1.058,00;21,25;463,75
01.01.25 01:30;01.01.25 01:45;937;346;602,75;8.409,25;2,25;32,75;-;921,25;679,75;1.052,75;31,25;467,75
01.01.25 01:45;01.01.25 02:00;938;349,5;602;8.427,00;2,25;32,75;-;896;681;1.090,00;0;471
01.01.25 02:00;01.01.25 02:15;929;337,75;669;8.443,25;2,25;32,75;-;827,25;680,75;1.046,50;1;465,75
01.01.25 02:15;01.01.25 02:30;935,25;330,75;666;8.478,25;2,25;32,75;-;814;681,5;1.059,00;0;457,5
01.01.25 02:30;01.01.25 02:45;934,75;341,75;646,5;8.425,00;2,25;32,75;-;816,5;678,5;1.055,00;0;461
01.01.25 02:45;01.01.25 03:00;938;333,5;632,5;8.420,50;2,25;32,75;-;807,25;676,25;1.057,25;0;453
01.01.25 03:00;01.01.25 03:15;937,25;332,25;451,25;8.180,25;2,5;33;-;808,25;678,25;1.047,50;76,5;448,75
01.01.25 03:15;01.01.25 03:30;936;331,75;436,75;8.152,25;2,25;31,5;-;805,75;661,5;1.066,25;20,5;445,25
01.01.25 03:30;01.01.25 03:45;932,25;327,25;410,25;8.233,50;2,25;31;-;805,25;648,25;1.081,25;0;447
01.01.25 03:45;01.01.25 04:00;934;325;386;8.310,25;2,25;32,25;-;807,25;651;1.084,50;0;448
01.01.25 04:00;01.01.25 04:15;932,75;338,75;356;8.267,00;2,25;32,25;-;812,75;648,25;1.085,00;2,5;444
01.01.25 04:15;01.01.25 04:30;929;328;344,75;8.237,75;2,25;32,25;-;810,25;651;1.087,50;0,5;444,25
01.01.25 04:30;01.01.25 04:45;926,5;329,75;324,25;8.276,50;2,25;32,25;-;808,25;646,75;1.077,00;0,25;441,5
01.01.25 04:45;01.01.25 05:00;926,25;325;302,75;8.332,50;2,25;30,75;-;806,25;637,25;1.085,50;0;440,5
01.01.25 05:00;01.01.25 05:15;924,5;322,75;316,75;8.361,75;2,5;31,5;-;803,5;601,5;1.111,25;0;443,5
01.01.25 05:15;01.01.25 05:30;927,25;324,75;307,75;8.369,00;2,25;32,5;-;806,25;597,25;1.118,00;0;442,75
01.01.25 05:30;01.01.25 05:45;930;325;291,75;8.412,00;2,25;33;-;808,25;601,25;1.116,75;0;440,5
01.01.25 05:45;01.01.25 06:00;934;325,75;247;8.428,00;2,25;32,75;-;805,75;603,25;1.118,00;0;439,25
01.01.25 06:00;01.01.25 06:15;938,5;334;233,75;8.864,75;2,5;32,5;-;810,5;587,25;1.115,00;4,75;444,5
01.01.25 06:15;01.01.25 06:30;937,5;335,5;251,5;8.846,00;2,5;32,25;-;810,5;577,75;1.111,50;8,5;440,75
01.01.25 06:30;01.01.25 06:45;935,75;333,25;275,75;8.833,25;2,75;32,25;-;809;554,25;1.121,75;3,25;436,25
01.01.25 06:45;01.01.25 07:00;939,75;347,75;276;8.896,25;2,75;32,5;-;807;549;1.129,50;0,25;441,5
01.01.25 07:00;01.01.25 07:15;948;374,75;314,25;8.992,50;2,75;32,5;-;819,5;519,25;1.125,25;80,75;438,5
01.01.25 07:15;01.01.25 07:30;947,75;369,25;317,5;9.010,25;2,75;32,25;-;813,75;494,25;1.112,50;5,75;442,25
01.01.25 07:30;01.01.25 07:45;935,25;359,5;336,5;9.049,25;3;32,25;-;808;497,25;1.103,75;5,75;439,5
01.01.25 07:45;01.01.25 08:00;952;350,5;341,75;9.037,75;4;32,25;-;810;477;1.085,50;2,75;440,75
01.01.25 08:00;01.01.25 08:15;967,75;351,75;576,5;8.965,00;11;32;-;807,5;472,25;1.071,50;6;437,5
01.01.25 08:15;01.01.25 08:30;974;352,75;627,25;8.954,00;52;32,25;-;808;475,25;1.020,75;16,75;436,75
01.01.25 08:30;01.01.25 08:45;974,5;359,25;609,75;8.878,50;233;32,25;-;813;458;986,25;17,25;434,5
01.01.25 08:45;01.01.25 09:00;970,5;347,5;605,5;8.864,00;427,5;32,25;-;812,75;454,5;1.002,25;16,75;439,75
01.01.25 09:00;01.01.25 09:15;973;355,75;559,5;8.675,50;653,25;32;-;808,25;456,75;1.004,50;6,75;438,75
01.01.25 09:15;01.01.25 09:30;971,25;371,5;525,5;8.635,25;884,5;32;-;810,25;455,5;1.004,75;10,25;437,75
01.01.25 09:30;01.01.25 09:45;975,5;373,25;505;8.624,25;1.137,00;32;-;810,25;456,75;1.004,00;14,25;438,25
01.01.25 09:45;01.01.25 10:00;975,5;346;503,75;8.662,25;1.377,00;32,25;-;809,75;459,25;996,5;9,25;443
01.01.25 10:00;01.01.25 10:15;964,75;365;542,5;8.939,00;1.619,00;31,75;-;817,75;458,25;1.002,25;11,25;446,5
01.01.25 10:15;01.01.25 10:30;960,25;349,5;547,25;9.068,50;1.866,00;31,75;-;818;459,25;996,25;6,25;452,25
01.01.25 10:30;01.01.25 10:45;947,75;365,75;508,25;9.084,00;2.096,25;31,75;-;818,5;463;991;8,5;446,25
01.01.25 10:45;01.01.25 11:00;949,25;351,25;518,25;9.055,50;2.331,75;31,5;-;819;463,75;998,5;0,5;446,5
01.01.25 11:00;01.01.25 11:15;959;360;460;9.085,00;2.546,25;31,25;-;817,75;461;997;8;453,25
01.01.25 11:15;01.01.25 11:30;960;359,25;464;8.998,50;2.742,75;31,25;-;816,5;462,5;990,5;11,5;457
01.01.25 11:30;01.01.25 11:45;961,5;361;463;8.948,75;2.874,75;31;-;816,25;462,75;993,5;11,5;457,5
01.01.25 11:45;01.01.25 12:00;949,5;357;464;8.886,00;2.983,00;31,25;-;815;463,5;988,5;23,25;461,25
01.01.25 12:00;01.01.25 12:15;952;373,25;508,5;9.052,75;3.022,75;31,25;-;825;463,75;955,25;7,25;460,5
01.01.25 12:15;01.01.25 12:30;938;373,75;537,5;9.157,50;3.044,25;31;-;823,5;462,75;897,5;22,25;451,75
01.01.25 12:30;01.01.25 12:45;931;369,25;548,5;9.221,75;3.044,25;28,5;-;817,5;461,75;897,5;4,5;455
01.01.25 12:45;01.01.25 13:00;951,5;371,25;550,5;9.209,25;2.999,25;28,5;-;817,5;460,5;896;19,75;459
01.01.25 13:00;01.01.25 13:15;948,5;376;574,75;9.369,25;2.908,50;28,5;-;815;461,5;891,25;43,25;464,5
01.01.25 13:15;01.01.25 13:30;931;359,5;654,5;9.343,50;2.775,00;28,25;-;814,5;464;910,25;34,75;455,5
01.01.25 13:30;01.01.25 13:45;934,5;377,75;696,75;9.404,50;2.593,00;28,5;-;807,5;463,5;910,5;22,5;451
01.01.25 13:45;01.01.25 14:00;941,25;376;763,75;9.499,75;2.382,75;30;-;805;460,5;911;39,75;443,75
01.01.25 14:00;01.01.25 14:15;932,5;364,75;750,75;9.477,75;2.131,25;30,75;-;808,5;462,5;907,5;5,25;437,75
01.01.25 14:15;01.01.25 14:30;950,75;348,75;823,5;9.564,75;1.904,75;31,25;-;819,25;456,5;906;41,75;447,5
01.01.25 14:30;01.01.25 14:45;947,5;362,5;888,5;9.724,25;1.638,25;31,25;-;828;457,25;904,75;20;442,75
01.01.25 14:45;01.01.25 15:00;931,25;362,5;1.000,75;9.825,25;1.368,75;31,25;-;835,75;459,75;895,75;21;444,75
01.01.25 15:00;01.01.25 15:15;928,5;344,25;1.112,50;9.993,00;1.088,00;31,25;-;837,5;458,25;892,5;10,25;447
01.01.25 15:15;01.01.25 15:30;951,5;351,25;1.161,00;10.268,00;813,75;31,25;-;836,75;459,25;899,25;10,5;443,25
01.01.25 15:30;01.01.25 15:45;957,5;351;1.200,75;10.455,00;550,5;31,75;-;840,5;464;901;3;447,25
01.01.25 15:45;01.01.25 16:00;968,75;379,25;1.138,75;10.545,75;320,5;31,5;-;833,75;452,25;897,75;73,25;459
01.01.25 16:00;01.01.25 16:15;965,25;360;1.152,75;10.342,25;142;32;-;847;452,25;901,75;67,5;467
01.01.25 16:15;01.01.25 16:30;994,25;354,5;1.229,25;10.423,50;36,25;31,75;-;844,5;463,75;914,25;104,25;462,5
01.01.25 16:30;01.01.25 16:45;1.003,25;381,75;1.219,25;10.562,00;8,75;32;-;850,25;500,5;915,5;96,75;467
01.01.25 16:45;01.01.25 17:00;1.008,25;364,75;1.119,25;10.572,25;5,75;32,25;-;854;517,75;911;163,75;463,75
01.01.25 17:00;01.01.25 17:15;1.018,00;366,5;1.124,75;10.728,25;5,5;32,25;-;844;527;922,25;82,75;460
01.01.25 17:15;01.01.25 17:30;1.024,25;359,75;1.221,50;10.960,25;5,25;31,75;-;835,75;567,75;921,5;80,5;463,25
01.01.25 17:30;01.01.25 17:45;1.024,50;361,75;1.236,25;11.021,50;4,5;32;-;829;601;922,75;103,25;463,25
01.01.25 17:45;01.01.25 18:00;1.032,50;346;1.227,25;11.051,75;4;32;-;828,5;630,75;924,75;126,75;463,25
01.01.25 18:00;01.01.25 18:15;1.030,75;342,75;1.012,50;11.085,00;3,75;32;-;825;649,25;920,5;143,5;458
01.01.25 18:15;01.01.25 18:30;1.026,50;338,5;964,5;11.089,75;3,75;32;-;820,5;658,75;920,75;131,5;452
01.01.25 18:30;01.01.25 18:45;1.036,25;340;930,75;11.017,50;3,5;32;-;823;668,5;925;161,5;445,25
01.01.25 18:45;01.01.25 19:00;1.038,00;338,5;895,5;11.007,50;3,5;32;-;820,75;691,25;932,25;79,5;455,25
01.01.25 19:00;01.01.25 19:15;1.031,75;353,5;887;10.916,00;3,25;32;-;824,25;693,75;938;135;457,25
01.01.25 19:15;01.01.25 19:30;1.029,00;375,75;876,25;10.852,25;3,25;32;-;830,5;693,5;936,5;126,75;449,75
01.01.25 19:30;01.01.25 19:45;1.026,50;354;869,25;10.819,00;3;32;-;827;693,25;933,5;92;447,25
01.01.25 19:45;01.01.25 20:00;1.026,25;345,25;864,25;10.751,25;2,75;32;-;827;697,75;924;95;447,5
01.01.25 20:00;01.01.25 20:15;1.010,00;341,25;993,75;10.761,50;3,5;31,75;-;811;706,75;910;149;446,5
01.01.25 20:15;01.01.25 20:30;1.013,25;337,75;1.013,00;10.670,75;3;31,75;-;800;720,75;898;123,75;443,5
01.01.25 20:30;01.01.25 20:45;1.006,75;337;999;10.616,25;3;31,75;-;798,5;729,25;888,5;78;451
01.01.25 20:45;01.01.25 21:00;1.006,25;334;973,5;10.626,00;3;31,75;-;800;741;889,5;53,5;446,25
01.01.25 21:00;01.01.25 21:15;994,5;332,75;1.014,00;10.525,50;3;31,75;-;799;741,5;888;138;453,5
01.01.25 21:15;01.01.25 21:30;994,75;341,25;1.041,50;10.373,00;2,75;32;-;799,25;744,25;891,5;109;454,5
01.01.25 21:30;01.01.25 21:45;993;341,25;995;10.274,00;2,75;32;-;797,75;760;891,5;103,25;448,5
01.01.25 21:45;01.01.25 22:00;993,25;340,25;929;10.248,75;2,75;32;-;799,25;759,25;892,5;206;442
01.01.25 22:00;01.01.25 22:15;985,5;352;996,5;9.890,50;2,5;32;-;800;760;881,75;206,5;437,25
01.01.25 22:15;01.01.25 22:30;985,75;336,25;1.002,50;9.916,00;2,5;32,25;-;796,5;771,25;883;115,25;439
01.01.25 22:30;01.01.25 22:45;982;334,25;926,5;9.933,25;2,5;32;-;797;778,5;882,75;115,25;445
01.01.25 22:45;01.01.25 23:00;976,75;329;928;9.923,50;2,5;32;-;798,5;780;883,5;123,75;448,75
01.01.25 23:00;01.01.25 23:15;964,5;345,25;994,5;9.996,25;2,5;32,25;-;793;781;879,5;175,25;448,75
01.01.25 23:15;01.01.25 23:30;959,5;339,75;979,25;9.959,00;2,25;32;-;794,5;781;877;111;444,25
01.01.25 23:30;01.01.25 23:45;957;332,5;1.071,00;9.880,00;2,5;32,25;-;797,75;778;884,5;79,75;444
01.01.25 23:45;02.01.25 00:00;951,75;330,25;1.070,25;9.777,00;2,5;32,25;-;801;775;885,75;121,5;454,25
02.01.25 00:00;02.01.25 00:15;918;344;1.049,25;9.677,75;2,5;32,25;-;841,5;798;896,75;125,75;484
02.01.25 00:15;02.01.25 00:30;933;356;997,25;9.465,50;2,25;32,5;-;861,25;822,75;899,25;184;438,75
02.01.25 00:30;02.01.25 00:45;938;349,25;997,25;9.405,00;2;32,25;-;861;811,25;899,25;183,25;436,25
02.01.25 00:45;02.01.25 01:00;937,5;351;989,25;9.189,25;1,75;32,25;-;877,25;796,25;868,25;200;435,25
02.01.25 01:00;02.01.25 01:15;934;350,5;1.149,25;9.130,50;1,75;32,5;-;934;769,5;842,25;171,25;435,75
02.01.25 01:15;02.01.25 01:30;931,75;331,5;1.186,00;9.144,25;1,5;32,5;-;952,75;738,25;839,5;85;435
02.01.25 01:30;02.01.25 01:45;927,5;330,25;1.197,00;9.096,75;1,5;32,5;-;971,75;716,25;834;83,75;441,75
02.01.25 01:45;02.01.25 02:00;930,25;337,25;1.221,50;8.859,25;1,75;32,25;-;985,5;685,75;830,75;111;444,25
02.01.25 02:00;02.01.25 02:15;931,5;340,25;1.277,75;8.587,25;1,75;32,25;-;984,25;656,25;851,25;88;447
02.01.25 02:15;02.01.25 02:30;934;350,25;1.280,50;8.450,50;1,25;32,25;-;985,25;623;851,25;146,75;443,25
02.01.25 02:30;02.01.25 02:45;935,5;335;1.333,25;8.508,25;1,5;32,25;-;984,25;601,25;850,25;102,5;442,5
02.01.25 02:45;02.01.25 03:00;926,25;324;1.373,25;8.540,00;1,5;32,25;-;987,5;580;838;74;439,25
02.01.25 03:00;02.01.25 03:15;931,5;324,5;1.403,75;8.389,25;1,5;32;-;991;568,75;836;75,5;442,75
02.01.25 03:15;02.01.25 03:30;927,25;327,5;1.399,50;8.236,75;1,75;32;-;993;574,5;877,5;91;440,75
02.01.25 03:30;02.01.25 03:45;932,75;351;1.407,00;8.018,50;1,75;32;-;993;576,75;877,75;127,25;439,5
02.01.25 03:45;02.01.25 04:00;940,25;354,75;1.383,50;7.899,25;1,5;31,75;-;1.022,50;579,75;897,5;129,5;441
02.01.25 04:00;02.01.25 04:15;929,75;352,25;1.249,75;7.771,50;1,5;32;-;1.102,25;600,5;947,25;34,75;439,5
02.01.25 04:15;02.01.25 04:30;943,25;352;1.249,50;7.763,50;1,5;31,5;-;1.113,75;604,5;1.007,75;27,5;438
02.01.25 04:30;02.01.25 04:45;945;353,75;1.229,75;7.710,50;1,5;31,25;-;1.121,00;623,5;1.048,50;14,5;445
02.01.25 04:45;02.01.25 05:00;944,75;351;1.204,75;7.640,75;1,5;31,5;-;1.127,75;677,25;1.080,00;71,25;447
02.01.25 05:00;02.01.25 05:15;949,75;344;1.147,25;7.536,50;1,5;31,25;-;1.133,75;690,5;1.193,75;29,5;445,5
02.01.25 05:15;02.01.25 05:30;953;350,25;1.136,50;7.473,25;1,5;31,25;-;1.139,00;703,25;1.265,50;30,75;446
02.01.25 05:30;02.01.25 05:45;955,75;342,75;1.143,50;7.403,25;1,5;31;-;1.158,25;719,5;1.293,75;27,5;446,5
02.01.25 05:45;02.01.25 06:00;959,5;346,25;1.140,25;7.407,00;1,5;31,25;-;1.237,75;727;1.367,25;91;450,5
02.01.25 06:00;02.01.25 06:15;968,25;341;1.368,75;7.389,00;1,25;31,25;-;1.414,25;724,25;1.549,50;41,5;450,75
02.01.25 06:15;02.01.25 06:30;979;348,25;1.377,25;7.128,50;1,75;31,25;-;1.546,75;735,5;1.513,25;43,25;446,5
02.01.25 06:30;02.01.25 06:45;967;344,25;1.450,25;6.975,00;1,5;31,25;-;1.663,00;795;1.521,50;55,5;444,5
02.01.25 06:45;02.01.25 07:00;986,75;353,75;1.393,00;6.753,50;1,75;31,25;-;1.756,25;847,5;1.625,75;63,25;448,5
02.01.25 07:00;02.01.25 07:15;1.002,50;364,75;1.492,75;6.462,75;1,75;31,25;-;1.917,25;867,5;1.859,00;42,75;454,5
02.01.25 07:15;02.01.25 07:30;1.020,25;347;1.480,25;6.326,25;1,75;31;-;1.979,75;915;1.877,75;85,25;463
02.01.25 07:30;02.01.25 07:45;1.024,00;342;1.458,00;6.224,75;1,75;31;-;1.976,50;975,25;1.917,50;74,5;467,25
02.01.25 07:45;02.01.25 08:00;1.031,50;347;1.436,00;6.088,50;3;30,75;-;2.060,25;1.030,25;1.951,75;102,5;472,5
02.01.25 08:00;02.01.25 08:15;1.047,50;327,25;1.461,00;5.832,00;3,5;30,5;-;2.163,75;1.131,00;2.094,75;91,75;472,5
02.01.25 08:15;02.01.25 08:30;1.060,75;342,25;1.419,00;5.547,75;8,75;30,25;-;2.239,25;1.184,00;2.107,00;204;468,5
02.01.25 08:30;02.01.25 08:45;1.075,75;368,75;1.413,75;5.418,50;50,75;30,25;-;2.241,00;1.189,25;2.161,75;309,75;467,25
02.01.25 08:45;02.01.25 09:00;1.083,75;372;1.459,50;5.237,25;128,5;30;-;2.245,00;1.181,50;2.236,25;431;461,5
02.01.25 09:00;02.01.25 09:15;1.081,25;333,75;1.499,25;5.030,00;231;30;-;2.325,50;1.201,50;2.279,25;262,25;450,75
02.01.25 09:15;02.01.25 09:30;1.073,25;334;1.510,00;4.712,25;330,25;30;-;2.335,75;1.219,25;2.293,50;210,25;444,25
02.01.25 09:30;02.01.25 09:45;1.081,50;352,5;1.496,25;4.444,75;450;30,25;-;2.341,00;1.247,75;2.305,25;217,75;451,5
02.01.25 09:45;02.01.25 10:00;1.081,50;354,5;1.470,75;4.268,50;597,75;29,75;-;2.357,25;1.271,00;2.355,50;244,25;455,5
02.01.25 10:00;02.01.25 10:15;1.071,25;351,25;1.440,50;4.049,50;757;29,75;-;2.376,25;1.284,75;2.507,00;261;442,75
02.01.25 10:15;02.01.25 10:30;1.067,75;350,5;1.299,00;3.875,50;937,25;30,25;-;2.377,25;1.280,50;2.531,50;307,5;438,25
02.01.25 10:30;02.01.25 10:45;1.065,00;340,25;1.221,25;3.713,00;1.119,75;30,75;-;2.383,50;1.281,25;2.528,50;261,25;447,5
02.01.25 10:45;02.01.25 11:00;1.063,50;365;1.140,00;3.544,00;1.263,75;31,25;-;2.371,50;1.280,75;2.555,25;297;452
02.01.25 11:00;02.01.25 11:15;1.049,75;340,25;1.218,75;3.405,00;1.392,25;31,25;-;2.377,50;1.299,00;2.552,00;61,5;450,5
02.01.25 11:15;02.01.25 11:30;1.046,00;348;1.294,75;3.301,25;1.518,75;31;-;2.373,50;1.300,50;2.533,75;187;440,75
02.01.25 11:30;02.01.25 11:45;1.040,75;333,25;1.327,00;3.172,50;1.603,75;31,25;-;2.375,50;1.298,00;2.541,75;105,25;442,25
02.01.25 11:45;02.01.25 12:00;1.040,75;336,25;1.329,00;3.037,25;1.658,25;31,25;-;2.375,25;1.296,75;2.547,25;122;446,25
02.01.25 12:00;02.01.25 12:15;1.017,75;350,5;1.285,25;2.957,50;1.677,00;31;-;2.369,00;1.304,50;2.543,00;58,5;442,25
02.01.25 12:15;02.01.25 12:30;1.015,75;349,5;1.302,25;2.920,75;1.679,00;31;-;2.367,00;1.306,50;2.540,25;55;435,75
02.01.25 12:30;02.01.25 12:45;1.013,75;346;1.356,75;2.926,75;1.690,75;31,25;-;2.363,50;1.307,00;2.541,75;47,75;437
02.01.25 12:45;02.01.25 13:00;1.013,75;332,5;1.446,00;2.987,50;1.658,00;30,75;-;2.348,25;1.298,00;2.534,00;59,25;441,75
02.01.25 13:00;02.01.25 13:15;1.010,00;355,5;1.395,25;2.957,00;1.631,00;31,25;-;2.394,50;1.254,00;2.520,50;53,75;448,25
02.01.25 13:15;02.01.25 13:30;1.007,75;350,5;1.420,25;2.966,50;1.538,50;31,5;-;2.399,25;1.227,75;2.517,00;40,75;440,75
02.01.25 13:30;02.01.25 13:45;1.006,75;359,5;1.326,25;2.997,25;1.415,25;31,25;-;2.400,75;1.227,75;2.519,25;41,5;435,5
02.01.25 13:45;02.01.25 14:00;1.007,75;369;1.326,50;2.943,00;1.274,50;31,75;-;2.403,00;1.198,25;2.503,25;42,5;436
02.01.25 14:00;02.01.25 14:15;1.014,25;391,25;1.241,50;2.927,00;1.134,25;31,75;-;2.405,75;1.217,00;2.521,00;89;439,5
02.01.25 14:15;02.01.25 14:30;1.022,25;380,25;1.309,50;2.845,25;981,5;31,75;-;2.394,50;1.213,50;2.497,00;152,25;425,5
02.01.25 14:30;02.01.25 14:45;1.034,50;390,5;1.316,25;2.772,75;815,5;31,5;-;2.339,25;1.217,50;2.521,25;204,75;420,75
02.01.25 14:45;02.01.25 15:00;1.040,50;379,25;1.253,25;2.782,50;638;31,5;-;2.354,25;1.224,00;2.543,50;420,25;422
02.01.25 15:00;02.01.25 15:15;1.055,25;381,25;1.239,25;2.809,00;478;31,5;-;2.375,25;1.230,75;2.550,25;955,25;418,75
02.01.25 15:15;02.01.25 15:30;1.059,75;396;1.250,75;2.892,75;324,75;31,25;-;2.389,25;1.232,25;2.553,00;933,75;419
02.01.25 15:30;02.01.25 15:45;1.067,25;413,25;1.299,50;2.922,50;191;31,25;-;2.406,50;1.218,75;2.559,50;949;418,75
02.01.25 15:45;02.01.25 16:00;1.068,00;389;1.391,75;2.957,75;90,5;31,25;-;2.408,25;1.196,75;2.571,25;963,5;421,5
02.01.25 16:00;02.01.25 16:15;1.096,00;389,5;1.352,00;3.132,75;33,25;31,5;-;2.405,00;1.194,00;2.602,50;683,25;422,5
02.01.25 16:15;02.01.25 16:30;1.095,25;394,75;1.380,25;3.109,50;8,75;31,5;-;2.408,50;1.196,00;2.607,75;776;428,5
02.01.25 16:30;02.01.25 16:45;1.095,75;430,25;1.310,00;3.247,00;6;31,75;-;2.404,75;1.190,75;2.609,25;815,75;431
02.01.25 16:45;02.01.25 17:00;1.108,25;434;1.273,25;3.345,25;5;31,5;-;2.408,25;1.191,00;2.625,25;912,25;425,25
02.01.25 17:00;02.01.25 17:15;1.119,75;408;1.451,25;3.491,00;4,5;31,75;-;2.400,50;1.187,75;2.601,00;1.468,50;420,5
02.01.25 17:15;02.01.25 17:30;1.123,00;426;1.525,00;3.668,00;4,5;31,75;-;2.392,50;1.192,75;2.608,75;1.450,50;420,5
02.01.25 17:30;02.01.25 17:45;1.128,25;446;1.557,00;3.738,00;9;31,75;-;2.383,25;1.195,25;2.612,00;1.492,75;419,25
02.01.25 17:45;02.01.25 18:00;1.129,25;443;1.525,50;3.781,00;4,5;31,75;-;2.372,00;1.198,50;2.643,00;1.510,50;414,25
02.01.25 18:00;02.01.25 18:15;1.131,00;459;1.481,00;3.861,75;9;32;-;2.397,00;1.212,75;2.704,75;1.537,75;415,25
02.01.25 18:15;02.01.25 18:30;1.132,75;439,75;1.296,50;3.954,75;5,5;32;-;2.405,75;1.216,25;2.735,00;1.467,25;429
02.01.25 18:30;02.01.25 18:45;1.130,25;455;1.315,50;4.021,75;5,25;32;-;2.404,25;1.213,50;2.725,75;1.446,50;430,5
02.01.25 18:45;02.01.25 19:00;1.128,25;415,75;1.463,50;4.119,50;6;32;-;2.387,50;1.216,25;2.728,50;1.385,75;430
02.01.25 19:00;02.01.25 19:15;1.117,50;442,5;1.493,50;4.266,25;9;32;-;2.402,50;1.210,25;2.778,25;1.456,00;431
02.01.25 19:15;02.01.25 19:30;1.116,50;430,25;1.444,25;4.429,75;4,75;31,75;-;2.413,00;1.207,00;2.754,75;1.304,00;430,75
02.01.25 19:30;02.01.25 19:45;1.112,75;408,75;1.415,00;4.549,75;2;31,75;-;2.419,00;1.198,75;2.762,25;1.162,25;441,75
02.01.25 19:45;02.01.25 20:00;1.103,50;390;1.490,00;4.676,75;1,75;31,5;-;2.410,00;1.175,75;2.785,75;924,25;443,75
02.01.25 20:00;02.01.25 20:15;1.092,00;394,25;1.470,50;4.723,25;2,75;31,5;-;2.406,25;1.161,75;2.782,00;955,75;439,5
02.01.25 20:15;02.01.25 20:30;1.088,00;385,5;1.458,75;4.750,25;2;31,75;-;2.407,00;1.162,00;2.758,00;785,5;444,25
02.01.25 20:30;02.01.25 20:45;1.079,25;360,75;1.477,00;4.743,50;1,75;31,75;-;2.427,00;1.162,25;2.714,00;454,5;450
02.01.25 20:45;02.01.25 21:00;1.069,00;306,5;1.488,25;4.705,00;1,5;31,75;-;2.431,50;1.146,25;2.638,25;354,5;448,5
02.01.25 21:00;02.01.25 21:15;1.045,25;312,25;1.420,00;4.708,50;1,5;31,75;-;2.421,00;1.132,00;2.489,50;275,5;441,25
02.01.25 21:15;02.01.25 21:30;1.040,50;308,75;1.411,75;4.712,00;1,5;32;-;2.419,00;1.123,00;2.460,75;164,75;445
02.01.25 21:30;02.01.25 21:45;1.035,00;287,25;1.481,75;4.689,50;1,5;32;-;2.418,25;1.119,00;2.443,00;80,5;447
02.01.25 21:45;02.01.25 22:00;1.032,00;272;1.593,50;4.701,75;1,5;32;-;2.387,50;1.115,25;2.419,50;52,5;449,75
02.01.25 22:00;02.01.25 22:15;1.014,00;303;1.572,50;4.555,25;3,25;32;-;2.348,75;1.147,00;2.405,50;287,5;448,75
02.01.25 22:15;02.01.25 22:30;1.011,25;300,5;1.622,50;4.599,00;1,5;32;-;2.319,50;1.188,50;2.373,75;102;449,25
02.01.25 22:30;02.01.25 22:45;1.011,00;374;1.728,25;4.623,75;1,5;32,25;-;2.296,50;1.231,25;2.358,25;23,75;452,25
02.01.25 22:45;02.01.25 23:00;1.005,75;367,5;1.703,50;4.606,25;1,5;32,25;-;2.257,75;1.211,00;2.324,50;23;453,25
02.01.25 23:00;02.01.25 23:15;980,5;375,75;1.544,50;4.614,25;2;32,5;-;2.204,50;1.175,75;2.209,00;61;446,25
02.01.25 23:15;02.01.25 23:30;988,5;364,25;1.553,00;4.691,00;1,75;32,5;-;2.159,50;1.148,00;2.176,50;29,25;440,75
02.01.25 23:30;02.01.25 23:45;975,75;354,75;1.612,25;4.727,50;2,25;32,5;-;2.113,50;1.136,00;2.137,00;11,75;440,5
02.01.25 23:45;03.01.25 00:00;979,75;351,5;1.612,75;4.764,75;1,5;32,25;-;2.055,00;1.043,00;2.089,25;16,25;440,25
03.01.25 00:00;03.01.25 00:15;959,25;363,75;1.543,25;4.741,75;1,75;32,25;-;2.011,00;1.022,00;2.112,75;67,5;481
03.01.25 00:15;03.01.25 00:30;946,75;344,5;1.436,25;4.748,50;1,75;32,5;-;2.030,00;977,5;2.136,50;14;435
03.01.25 00:30;03.01.25 00:45;959;342;1.494,25;4.769,00;1,75;32,5;-;2.060,50;937,25;2.112,25;2,75;435,25
03.01.25 00:45;03.01.25 01:00;959,5;342;1.498,75;4.806,25;1,5;32,5;-;2.024,50;914,25;2.114,00;1;433,25
03.01.25 01:00;03.01.25 01:15;957,75;340,5;1.522,25;4.817,25;1,75;32,5;-;2.010,25;884,75;2.029,75;32,5;435,25
